filename,width,height,class,xmin,ymin,xmax,ymax
3-50#-1420.jpg,1200,1632,cell_0,764,676,920,834
2-49#-0987.jpg,1200,1632,cell_0,792,669,943,825
2-49#-0299.jpg,1200,1632,cell_1,849,620,1005,778
2-49#-0813.jpg,1200,1632,cell_1,624,685,789,857
2-49#-0663.jpg,1200,1632,cell_1,240,718,421,867
3-50#-1070.jpg,1200,1632,cell_0,724,681,889,848
3-2228.jpg,1200,1632,cell_1,1019,776,1168,918
3-50#-1415.jpg,1200,1632,cell_1,412,734,580,860
3-50#-0117.jpg,1200,1632,cell_0,915,697,1066,850
2-49#-0073.jpg,1200,1632,cell_1,566,709,735,857
2-49#-0957.jpg,1200,1632,cell_0,938,750,1094,895
2-49#-0933.jpg,1200,1632,cell_0,906,732,1064,888
1-1115.jpg,1200,1632,cell_1,735,634,905,811
2-49#-0884.jpg,1200,1632,cell_0,943,753,1103,899
2-49#-0170.jpg,1200,1632,cell_0,682,676,843,837
3-50#-0373.jpg,1200,1632,cell_0,561,730,727,862
3-50#-0935.jpg,1200,1632,cell_0,82,725,250,862
1-1469.jpg,1200,1632,cell_1,1091,767,1200,936
2-49#-0978.jpg,1200,1632,cell_0,610,695,771,860
2-49#-0986.jpg,1200,1632,cell_0,1045,781,1192,930
2-49#-0866.jpg,1200,1632,cell_0,310,725,489,857
3-50#-1312.jpg,1200,1632,cell_0,392,737,561,860
2-49#-0831.jpg,1200,1632,cell_0,829,676,985,832
2-49#-0938.jpg,1200,1632,cell_0,882,713,1040,864
2-49#-0350.jpg,1200,1632,cell_1,754,641,912,806
2-49#-0519.jpg,1200,1632,cell_1,854,616,1010,778
2-49#-0660.jpg,1200,1632,cell_1,1089,567,1200,712
3-50#-0112.jpg,1200,1632,cell_0,671,692,831,857
2-49#-0885.jpg,1200,1632,cell_0,699,674,861,832
3-2209.jpg,1200,1632,cell_1,794,664,952,827
2-49#-0830.jpg,1200,1632,cell_0,1075,783,1200,936
3-50#-1350.jpg,1200,1632,cell_0,794,676,952,830
2-49#-0851.jpg,1200,1632,cell_0,692,676,852,834
3-50#-1311.jpg,1200,1632,cell_0,859,678,1003,825
2-49#-0860.jpg,1200,1632,cell_0,829,667,985,834
3-50#-0427.jpg,1200,1632,cell_0,917,697,1071,855
2-49#-0914.jpg,1200,1632,cell_0,738,674,896,827
1-2505.jpg,1200,1632,cell_1,733,650,889,811
3-50#-0094.jpg,1200,1632,cell_0,875,681,1031,834
2-49#-0446.jpg,1200,1632,cell_1,708,660,866,818
3-50#-1033.jpg,1200,1632,cell_1,889,564,1031,716
3-50#-1112.jpg,1200,1632,cell_0,438,730,610,867
3-50#-1048.jpg,1200,1632,cell_0,1,724,154,862
3-50#-0083.jpg,1200,1632,cell_0,147,725,313,860
2-49#-0391.jpg,1200,1632,cell_1,689,664,847,825
3-50#-1367.jpg,1200,1632,cell_0,910,697,1071,855
3-50#-0962.jpg,1200,1632,cell_0,899,692,1061,848
2-49#-0947.jpg,1200,1632,cell_0,1045,781,1196,932
1-1474.jpg,1200,1632,cell_1,591,664,759,841
3-50#-1362.jpg,1200,1632,cell_0,671,695,829,857
3-50#-1414.jpg,1200,1632,cell_1,852,604,1003,762
2-49#-0661.jpg,1200,1632,cell_1,912,620,1084,755
1-0578.jpg,1200,1632,cell_1,626,664,794,827
3-50#-1160.jpg,1200,1632,cell_0,143,727,308,862
3-50#-1351.jpg,1200,1632,cell_0,285,727,450,864
2-49#-0518.jpg,1200,1632,cell_1,994,597,1170,725
3-50#-0933.jpg,1200,1632,cell_0,947,734,1101,888
3-50#-1470.jpg,1200,1632,cell_0,820,669,978,832
2-49#-0070.jpg,1200,1632,cell_1,994,353,1147,511
1-2506.jpg,1200,1632,cell_1,601,676,761,834
3-2442.jpg,1200,1632,cell_1,959,767,1117,906
2-49#-0879.jpg,1200,1632,cell_0,1020,769,1175,923
2-49#-0973.jpg,1200,1632,cell_0,596,699,754,855
3-50#-1082.jpg,1200,1632,cell_0,608,718,773,862
3-50#-1453.jpg,1200,1632,cell_0,915,697,1075,855
3-50#-1166.jpg,1200,1632,cell_0,17,725,187,864
2-49#-0935.jpg,1200,1632,cell_0,24,720,185,853
